,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
90,"Garden District, Ryerson",43.6571618,-79.37893709999999,Silver Snail Comics,43.65703137958407,-79.38140310220501,Comic Shop
91,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ed Mirvish Theatre,43.655101567321054,-79.37976762131545,Theater
92,"Garden District, Ryerson",43.6571618,-79.37893709999999,Yonge-Dundas Square,43.65605389742188,-79.38049504264389,Plaza
93,"Garden District, Ryerson",43.6571618,-79.37893709999999,Page One Cafe,43.65777161112601,-79.3760725691681,Café
94,"Garden District, Ryerson",43.6571618,-79.37893709999999,Burrito Boyz,43.656265264409015,-79.37834318376771,Burrito Place
95,"Garden District, Ryerson",43.6571618,-79.37893709999999,Jazz Bistro,43.65567828473835,-79.37927565514764,Music Venue
96,"Garden District, Ryerson",43.6571618,-79.37893709999999,Infuse Cafe,43.658068043552504,-79.38172645275614,Coffee Shop
97,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Black Canary Espresso Bar,43.65702925121356,-79.38138512728051,Café
98,"Garden District, Ryerson",43.6571618,-79.37893709999999,Salad King,43.65760101432665,-79.38161963017174,Thai Restaurant
99,"Garden District, Ryerson",43.6571618,-79.37893709999999,Tokyo Smoke,43.65723,-79.38087,Coffee Shop
100,"Garden District, Ryerson",43.6571618,-79.37893709999999,Barberian's Steak House,43.65775512925926,-79.38217741375935,Steakhouse
101,"Garden District, Ryerson",43.6571618,-79.37893709999999,Chipotle Mexican Grill,43.65686,-79.38091,Mexican Restaurant
102,"Garden District, Ryerson",43.6571618,-79.37893709999999,Banh Mi Boys,43.659292,-79.381949,Sandwich Place
103,"Garden District, Ryerson",43.6571618,-79.37893709999999,Samsung Experience Store (Eaton Centre),43.65564777812532,-79.3810108074576,Electronics Store
104,"Garden District, Ryerson",43.6571618,-79.37893709999999,Oakham Café,43.658077944767534,-79.37831497990125,Café
105,"Garden District, Ryerson",43.6571618,-79.37893709999999,CF Toronto Eaton Centre,43.654540112988535,-79.38067738352993,Shopping Mall
106,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Image Centre,43.65752337161094,-79.37945958709186,Art Gallery
107,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997793,Ramen Restaurant
108,"Garden District, Ryerson",43.6571618,-79.37893709999999,JOEY Eaton Centre,43.65540379999999,-79.38192889999999,Restaurant
109,"Garden District, Ryerson",43.6571618,-79.37893709999999,306 Yonge Street - Jordan Store,43.65649471160899,-79.38101531134684,Sporting Goods Shop
110,"Garden District, Ryerson",43.6571618,-79.37893709999999,Solei Tanning Salon,43.654734082347616,-79.38024826065258,Tanning Salon
111,"Garden District, Ryerson",43.6571618,-79.37893709999999,Five Guys,43.657116518476315,-79.38085267976494,Burger Joint
112,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ali Baba's - Yonge north of Dundas,43.65791597172264,-79.38168923893144,Middle Eastern Restaurant
113,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Senator Restaurant,43.65564091455335,-79.37919882575557,Diner
114,"Garden District, Ryerson",43.6571618,-79.37893709999999,Crepe Delicious,43.654536488277245,-79.38088885547485,Fast Food Restaurant
115,"Garden District, Ryerson",43.6571618,-79.37893709999999,Elgin And Winter Garden Theatres,43.653393796019586,-79.3785073962175,Theater
116,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Athletics Centre,43.65843443942876,-79.37929610991361,College Rec Center
117,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Grand Hotel & Suites Toronto,43.65644901207743,-79.3741100180102,Hotel
118,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hailed Coffee,43.65883296982352,-79.38368351986598,Coffee Shop
119,"Garden District, Ryerson",43.6571618,-79.37893709999999,Duke's Refresher + Bar,43.65897985683036,-79.38294890507811,Bar
120,"Garden District, Ryerson",43.6571618,-79.37893709999999,JOEY,43.6560936540828,-79.38187792357716,American Restaurant
121,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Elm Tree Restaurant,43.65739749535259,-79.38376054171513,Modern European Restaurant
122,"Garden District, Ryerson",43.6571618,-79.37893709999999,Elmwood Spa,43.6577592341367,-79.38258620521141,Spa
123,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kinka Izakaya Original,43.66059636632361,-79.37889120754515,Japanese Restaurant
124,"Garden District, Ryerson",43.6571618,-79.37893709999999,Paramount Fine Foods,43.65502870847598,-79.38024513018975,Middle Eastern Restaurant
125,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917,Gastropub
126,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kinton Ramen,43.660631695006714,-79.37887964897601,Ramen Restaurant
127,"Garden District, Ryerson",43.6571618,-79.37893709999999,Indigo,43.65351471121164,-79.38069591056922,Bookstore
128,"Garden District, Ryerson",43.6571618,-79.37893709999999,DAVIDsTEA,43.65521877547618,-79.38094518163427,Tea Room
129,"Garden District, Ryerson",43.6571618,-79.37893709999999,Milestones,43.65677017037749,-79.3805082043499,Restaurant
130,"Garden District, Ryerson",43.6571618,-79.37893709999999,LUSH,43.653557,-79.3804,Cosmetics Shop
131,"Garden District, Ryerson",43.6571618,-79.37893709999999,Nordstrom,43.655041,-79.3809665,Clothing Store
132,"Garden District, Ryerson",43.6571618,-79.37893709999999,Danish Pastry House,43.654574,-79.38074,Bakery
